timestamp,open,high,low,close,volume
2021-06-10,2406.9200,2436.0000,2403.7800,2435.1300,1295375
2021-06-09,2411.4300,2412.8800,2396.9000,2407.9400,897052
2021-06-08,2412.0100,2419.5202,2394.7800,2398.4400,1211992
2021-06-07,2389.4360,2404.5099,2381.0000,2402.3000,1205966
2021-06-04,2369.2700,2399.0300,2362.4100,2393.5700,1222910
2021-06-03,2345.7300,2357.0150,2329.5200,2347.5800,934796
2021-06-02,2389.1500,2393.6400,2352.3550,2370.5900,1058146
2021-06-01,2374.4400,2385.7100,2354.2800,2381.1800,1167901
2021-05-28,2374.4200,2376.0700,2352.8500,2356.8500,1074540
2021-05-27,2389.0500,2389.0500,2356.2600,2362.6800,1761201
2021-05-26,2366.5200,2388.9900,2366.4625,2380.3100,1078598
2021-05-25,2372.0000,2384.0000,2355.0000,2362.8700,1121982
2021-05-24,2314.8900,2365.5500,2311.9550,2361.0400,1591610
2021-05-21,2317.4100,2318.8900,2289.3000,2294.1300,2031590
2021-05-20,2291.0000,2312.0000,2283.5200,2306.9500,1617550
2021-05-19,2228.4300,2274.9900,2225.4400,2271.5000,1184205
2021-05-18,2302.3500,2307.6818,2262.1900,2262.4700,1110185
2021-05-17,2263.5700,2289.7800,2255.5101,2288.9200,1079869
2021-05-14,2258.5400,2284.7200,2250.0000,2278.3800,1599829
2021-05-13,2226.1200,2239.4375,2206.7200,2229.0400,1661020
2021-05-12,2226.1900,2247.9800,2193.6200,2200.2500,2318774
2021-05-11,2243.0700,2280.2800,2233.9200,2270.0600,1709292
2021-05-10,2328.1400,2331.0000,2284.5400,2291.7500,1545729
2021-05-07,2363.8900,2371.2500,2346.1550,2351.9300,1444862
2021-05-06,2306.3300,2337.3500,2293.0418,2337.3500,1259523
2021-05-05,2328.6300,2335.0000,2308.2800,2314.7700,1331809
2021-05-04,2313.5500,2324.9899,2256.6800,2306.8300,2240932
2021-05-03,2364.9100,2381.5500,2335.5000,2343.0800,1412139
2021-04-30,2368.0200,2381.8500,2346.5600,2353.5000,2242838
2021-04-29,2389.2300,2404.1600,2373.8500,2392.7600,2061654
2021-04-28,2392.4954,2431.3800,2353.2200,2359.0400,4055340
2021-04-27,2317.6326,2318.4500,2286.1600,2290.9800,2219280
2021-04-26,2304.5200,2324.5300,2297.3150,2309.9300,1601892
2021-04-23,2267.0000,2306.1175,2261.2500,2299.9300,1455554
2021-04-22,2275.4000,2288.8814,2240.3200,2252.5200,1207276
2021-04-21,2272.0500,2280.0000,2244.8200,2278.3500,1160209
2021-04-20,2297.4900,2298.9999,2257.1200,2279.0100,1114416
2021-04-19,2270.1800,2304.0900,2270.1800,2289.7600,1514470
2021-04-16,2289.2400,2294.2400,2270.9200,2282.7500,1314139
2021-04-15,2261.9500,2296.0000,2251.1700,2285.2500,1458749
2021-04-14,2267.4300,2267.4300,2236.0150,2241.9100,1050143
2021-04-13,2250.9900,2263.4700,2243.0500,2254.4300,1284078
2021-04-12,2254.1200,2256.8850,2227.8200,2244.6200,1251183
2021-04-09,2245.4400,2273.9700,2237.2550,2270.6700,1307265
2021-04-08,2264.0000,2271.7899,2243.0100,2250.4300,1433214
2021-04-07,2213.1000,2244.5000,2213.1000,2239.0300,1206696
2021-04-06,2210.9200,2228.0000,2201.7900,2209.2600,1762039
2021-04-05,2147.1500,2228.9900,2145.2050,2218.9600,2425480
2021-04-01,2092.2500,2135.7500,2091.4300,2129.7800,1994005
2021-03-31,2054.4000,2086.2600,2047.0000,2062.5200,2128482
2021-03-30,2052.9800,2062.6700,2036.1500,2046.4700,1365856
2021-03-29,2022.1600,2049.2100,2005.4500,2045.7900,1324631
2021-03-26,2031.7900,2039.3850,2003.8500,2024.7300,1398875
2021-03-25,2029.0500,2045.6400,1996.0900,2032.4600,1780787
2021-03-24,2051.7600,2067.6000,2029.0001,2032.5300,1260853
2021-03-23,2039.9500,2064.1100,2028.0001,2041.3300,1425456
2021-03-22,2027.6300,2048.3400,2014.0000,2030.6900,1676771
2021-03-19,2029.7300,2037.0400,2002.9300,2026.9600,2303596
2021-03-18,2048.1800,2068.7460,2019.1800,2021.3400,1585648
2021-03-17,2068.4700,2099.0000,2044.1218,2082.2200,1319126
2021-03-16,2065.9900,2113.6800,2059.2900,2083.8900,1595015
2021-03-15,2044.9750,2054.9900,2027.7900,2054.4400,1310741
2021-03-12,2076.4100,2077.6100,2032.4200,2050.0000,1690899
2021-03-11,2058.2200,2111.2700,2056.4500,2100.5400,1385130
2021-03-10,2061.4000,2061.4000,2019.3300,2036.1900,1355004
2021-03-09,2049.7500,2063.9153,2035.6000,2040.3600,1696031
2021-03-08,2084.0600,2113.7400,2005.1900,2007.5000,1843371
2021-03-05,2061.1500,2106.2000,2027.7773,2097.0700,2654977
2021-03-04,2014.8690,2074.5900,2005.4300,2033.9300,2460786
2021-03-03,2051.9500,2075.9900,1994.0000,2011.4100,1694645
2021-03-02,2064.8400,2094.7400,2056.6700,2064.4800,1278184
2021-03-01,2048.0000,2076.2300,2034.4200,2069.6600,1303089
2021-02-26,2029.9500,2056.5200,2001.0100,2021.9100,1978740
2021-02-25,2055.9300,2083.0000,2006.4900,2015.9500,2047513
2021-02-24,2030.0400,2088.3200,2027.5300,2083.8100,1130437
2021-02-23,2013.9900,2072.5000,1990.2300,2060.1200,1732899
2021-02-22,2053.6000,2080.3300,2048.0000,2054.2600,1458920
2021-02-19,2107.7900,2118.5800,2083.4300,2088.8100,1896939
2021-02-18,2105.0000,2121.9900,2093.3300,2105.8100,1128549
2021-02-17,2093.9800,2122.4434,2088.3500,2118.6200,986524
2021-02-16,2091.7500,2145.1400,2091.7500,2110.7000,1550195
2021-02-12,2079.7700,2099.5000,2073.5700,2095.0300,949525
2021-02-11,2091.0000,2094.0000,2068.8600,2088.7500,1024029
2021-02-10,2083.1400,2098.8800,2052.2400,2086.4800,1252689
2021-02-09,2074.8000,2098.5100,2070.0000,2075.3900,1093053
2021-02-08,2100.0000,2115.0000,2063.3500,2084.5200,1441443
2021-02-05,2059.5600,2095.9400,2050.0000,2088.8300,1493256
2021-02-04,2060.6156,2069.3000,2035.1000,2053.6300,2429780
2021-02-03,2065.6100,2106.6234,2013.5500,2058.8800,4894082
2021-02-02,1913.1300,1949.3700,1906.3700,1919.1200,3108776
2021-02-01,1844.5850,1915.5400,1844.5850,1893.0700,2012603
2021-01-29,1834.0200,1847.5350,1801.5601,1827.3600,2226509
